id,state,Districts,constituency_name,MLC_name,elected,presentorx,actvated,party,party_name,gender,fathers_Name,Spouse_Name,Highest_Education,University,photo,address,Email_address,Mobile,chldid,Termend
321,Andhra Pradesh,-,-,Shariff Mohammed Ahmed,Legislative Assembly,present,no,TDP,,Male,,,,,,,,+91,no,0001-01-01
320,Andhra Pradesh,-,-,Batchula Arjunudu,Legislative Assembly,present,no,TDP,,Male,,,,,,,,+91,no,0001-01-01
319,Andhra Pradesh,-,-,Nara Lokesh,Legislative Assembly,present,no,TDP,,Male,,,,,,,,+91,no,0001-01-01
318,Andhra Pradesh,-,-,B Tirumala Naidu,Legislative Assembly,present,no,TDP,,Male,,,,,,,,+91,no,0001-01-01
317,Andhra Pradesh,-,-,Duvvarapu Rama Rao,Legislative Assembly,present,no,TDP,,Male,,,,,,,,+91,no,0001-01-01
316,Andhra Pradesh,-,-,Parchuri Ashok Babu,Legislative Assembly,present,no,TDP,,Male,,,,,,,,+91,no,0001-01-01
315,Andhra Pradesh,-,-,Yanamala Ramakrishnudu,Legislative Assembly,present,no,TDP,,Male,,,,,,,,+91,no,0001-01-01
314,Andhra Pradesh,-,-,Devasani Chinna Govinda Reddy,Legislative Assembly,present,no,YSRCP,,Male,,,,,,,,+91,no,0001-01-01
313,Andhra Pradesh,-,-,Challa Bhageerath Reddy,Legislative Assembly,present,no,YSRCP,,Male,,,,,,,,+91,no,0001-01-01
312,Andhra Pradesh,-,-,Pothula Suneetha,Legislative Assembly,present,no,YSRCP,,Male,,,,,,,,+91,no,0001-01-01
311,Andhra Pradesh,-,-,P.V.V.Suryanarayana Raju,Legislative Assembly,present,no,YSRCP,,Male,,,,,,,,+91,no,0001-01-01
310,Andhra Pradesh,-,-,Dokka Manikya Vara Prasad,Legislative Assembly,present,no,YSRCP,,Male,,,,,,,,+91,no,0001-01-01
309,Andhra Pradesh,-,-,Gangula Prabhakar Reddy,Legislative Assembly,present,no,YSRCP,,Male,,,,,,,,+91,no,0001-01-01
308,Andhra Pradesh,-,-,Janga Krishna Murthy,Legislative Assembly,present,no,YSRCP,,Male,,,,,,,,+91,no,0001-01-01
307,Andhra Pradesh,-,-,Mohmmed Karimunneesa,Legislative Assembly,present,no,YSRCP,,Male,,,,,,,,+91,no,0001-01-01
306,Andhra Pradesh,-,-,Mohammed Iqbal,Legislative Assembly,present,no,YSRCP,,Male,,,,,,,,+91,no,0001-01-01
305,Andhra Pradesh,-,-,Balli Kalyanachakravarthy,Legislative Assembly,present,no,YSRCP,,Male,,,,,,,,+91,no,0001-01-01
304,Andhra Pradesh,-,-,Duvvada Srinivas,Legislative Assembly,present,no,YSRCP,,Male,,,,,,,,+91,no,0001-01-01
303,Andhra Pradesh,-,-,C. Ramachandraiah,Legislative Assembly,present,no,YSRCP,,Male,,,,,,,,+91,no,0001-01-01
302,Andhra Pradesh,"Krishna,Guntur","Krishna,Guntur",Tamatam Kalpalatha Reddy,Teachers constituencies,present,no,INDPT,,Male,,,,,,,,+91,no,0001-01-01
301,Andhra Pradesh,"East Godavari,West Godavari","East Godavari,West Godavari",Shaik Sabji,Teachers constituencies,present,no,UTF,,Male,,,,,,,,+91,no,0001-01-01
300,Andhra Pradesh,"Anantapur,Kurnool,Kadapa","Anantapur,Kurnool,Kadapa",Katti Narasimha Reddy,Teachers constituencies,present,no,INDPT,,Male,,,,,,,,+91,no,0001-01-01
299,Andhra Pradesh,"Chittoor,Nellore,Prakasam","Chittoor,Nellore,Prakasam",Vitapu Balasubrahmanyam,Teachers constituencies,present,no,PDF(AP),,Male,,,,,,,,+91,no,0001-01-01
298,Andhra Pradesh,"Srikakulam,Vizianagaram,Visakhapatnam","Srikakulam,Vizianagaram,Visakhapatnam",Pakalapati Raghu Varma,Teachers constituencies,present,no,INDPT,,Male,,,,,,,,+91,no,0001-01-01
297,Andhra Pradesh,"Srikakulam,Vizianagaram,Visakapatnam","Srikakulam,Vizianagaram,Visakapatnam",P. V. N. Madhav,Graduates constituencies,present,no,BJP,,Male,,,,,,,,+91,no,0001-01-01
296,Andhra Pradesh,"Anantapur,Kurnool,Kadapa","Anantapur,Kurnool,Kadapa",Vennapusa Gopal Reddy,Graduates constituencies,present,no,YSRCP,,Male,,,,,,,,+91,no,0001-01-01
295,Andhra Pradesh,"Chittoor, Nellore,Prakasam","Chittoor, Nellore,Prakasam",Yandapalli Srinivasulu Reddy,Graduates constituencies,present,no,PDF(AP),,Male,,,,,,,,+91,no,0001-01-01
294,Andhra Pradesh,"Krishna,Guntur","Krishna,Guntur",Kalagara Sai Lakshmana Rao,Graduates constituencies,present,no,PDF(AP),,Male,,,,,,,,+91,no,0001-01-01
293,Andhra Pradesh,"East Godavari,West Godavari","East Godavari,West Godavari",Illa Venkateswara Rao,Graduates constituencies,present,no,PDF(AP),,Male,,,,,,,,+91,no,0001-01-01
